日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260817,932000,中证2000,CSI 2000,000011,深物业A,Shenzhen Properties & Resources Development (Group) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000014,沙河股份,Shahe Industrial Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000017,深中华A,Shenzhen China Bicycles Co (Holdings) Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000025,特力A,Shenzhen Tellus Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000026,飞亚达,"FIYTA Precision Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000036,华联控股,China Union Holdings Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000037,深南电A,Shenzhen Nanshan Power Company Limited,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000045,深纺织A,Shenzhen Textile (Holdings) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000068,华控赛格,"SHENZHEN HUAKONG SEG CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000070,特发信息,Shenzhen SDG Information Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000090,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000096,广聚能源,Shenzhen Guangju Energy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000151,中成股份,China National Complete Plant Import&Export Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000153,丰原药业,Anhui Fengyuan Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000159,国际实业,Xinjiang International Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000404,长虹华意,"CHANGHONG HUAYI COMPRESSOR CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000407,胜利股份,Shandong Shengli Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000409,云鼎科技,"Yunding Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000411,英特集团,Zhejiang Int'l Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000417,合百集团,Hefei Department Store Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000419,通程控股,Changsha Tongcheng Holdings Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000421,南京公用,"NanJing Public Utilities Development Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000428,华天酒店,Huatian Hotel Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000501,武商集团,"WUSHANG GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000505,京粮控股,"Hainan Jingliang Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000507,珠海港,Zhuhai Port Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000509,华塑控股,"Huasu Holdings Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000510,新金路,"SICHUAN XINJINLU GROUP CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000514,渝开发,Chongqing Yukaifa Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000517,荣安地产,"Rongan Property Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000520,凤凰航运,"Phoenix Shipping (Wuhan) Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000521,长虹美菱,"CHANGHONG MEILING CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000523,红棉股份,"HONGMIAN ZHIHUI SCIENCE AND TECHNOLOGY INNOVATION CO.,LTD.GUANGZHOU",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000524,岭南控股,Guangzhou Lingnan Group Holdings Company Limited,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000526,学大教育,"XUEDA (XIAMEN) EDUCATION TECHNOLOGY GROUP CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000530,冰山冷热,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000531,穗恒运A,Guangzhou Hengyun Enterprises Holding Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000532,华金资本,"Zhuhai Huajin Capital Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000533,顺钠股份,"Guangdong Shunna Electric Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000541,佛山照明,Foshan Electrical and Lighting Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000551,创元科技,"Create Technology and Science Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000554,泰山石油,Sinopec Shandong Taishan Petroleum Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000558,天府文旅,"Chengdu New Tianfu Culture Tourism Development Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000560,我爱我家,"5I5J HOLDING GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000561,烽火电子,Shaanxi Fenghuo Electronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000565,渝三峡A,Chongqing Sanxia Paints Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000570,苏常柴A,Changchai Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000576,甘化科工,"Guangdong Ganhua Science & Industry Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000589,贵州轮胎,Gui Zhou Tyre Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000593,德龙汇能,"DELONG COMPOSITE ENERGY GROUP CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000597,东北制药,Northeast Pharmaceutical Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000601,韶能股份,Guangdong Shaoneng Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000607,华媒控股,"Zhejiang Huamei Holding CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000631,顺发恒能,SHUNFA HENGNENG Corporation.,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000635,英 力 特,"Ningxia Younglight Chemicals Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000652,泰达股份,"Tianjin TEDA Resources Recycling Group Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000655,金岭矿业,Shandong Jinling Mining Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000659,珠海中富,Zhuhai Zhongfu Enterprise Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000670,盈方微,"Infotmic Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000700,模塑科技,Jiangnan Mould & Plastic Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000701,厦门信达,Xiamen Xinde Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000705,浙江震元,"Zhejiang Zhenyuan Share Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000707,双环科技,Hubei Shuanghuan Science And Technologystock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000710,贝瑞基因,"BerryGenomics Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000713,国投丰乐,"SDIC FENGLE SEED CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000715,中兴商业,"Zhongxing Shenyang Commercial Building  Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000716,黑芝麻,"NANFANG BLACK SESAME GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000717,中南股份,"Guangdong Zhongnan Iron & Steel Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000718,苏宁环球,Suning Universal Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000721,西安饮食,Xi'an Catering Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000722,湖南发展,"Hunan Energy Group Development Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000726,鲁  泰A,Lu Thai Textile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000731,四川美丰,Sichuan Meifeng Chemical Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000735,罗牛山,Haikou Agriculture & Industry & Trade (Luoniushan) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000751,锌业股份,Huludao Zinc Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000753,漳州发展,"Fujian Zhangzhou Development Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000756,新华制药,Shandong Xinhua Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000759,中百集团,Zhongbai Holdings Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000777,中核科技,SUFA Technology Industry Co Ltd CNNC,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000779,甘咨询,"Gansu Engineering Consulting Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000782,恒申新材,"Guangdong Highsun Meida New Materials Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000788,北大医药,"PKU HealthCare Corp., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000797,中国武夷,China Wuyi Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000798,中水渔业,CNFC Overseas Fishery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000803,山高环能,SHANDONG HIGH SPEED RENEWABLE ENERGY GROUP LIMITED,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000812,陕西金叶,Shaanxi Jinye Science Technology and Education Co Ltd Group,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000815,美利云,"MCC MEILI CLOUD COMPUTING INDUSTRY INVESTMENT CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000816,智慧农业,"JIANGSU NONGHUA INTELLIGENT AGRICULTURE TECHNOLOGY CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000819,岳阳兴长,Yueyang Xingchang Petrochemical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000822,山东海化,Shandong Haihua Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000823,超声电子,Guangdong Goworld Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000850,华茂股份,Anhui Huamao Textile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000852,石化机械,Sinopec Oilfield Equipment Corporation,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000859,国风新材,"Anhui Guofeng New Materials Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000862,银星能源,"Ningxia Yin Xing Energy Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000863,三湘印象,"SANXIANG IMPRESSION CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000868,安凯客车,Anhui Ankai Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000882,华联股份,Beijing Hualian Department Store Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000886,海南高速,Hainan Expressway Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000888,峨眉山A,Emei Shan Tourism Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000892,欢瑞世纪,H&R Century Union Corporation,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000897,津滨发展,Tianjin Jinbin Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000900,现代投资,Xiandai Investment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000905,厦门港务,Xiamen Port Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000912,泸天化,Sichuan Lutianhua Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000915,华特达因,"SHANDONG WIT DYNE HEALTH CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000919,金陵药业,Jinling Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000920,沃顿科技,"Vontron Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000922,佳电股份,"Harbin Electric Coporation Jiamusi Electric Machine CO.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000925,众合科技,"United Science & Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000926,福星股份,Hubei Fuxing Science And Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000931,中关村,Beijing Centergate Technologies (Holding) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000936,华西股份,Jiangsu Huaxicun Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000948,南天信息,Yunnan Nantian Electronics Information Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000949,新乡化纤,Xinxiang Chemical Fiber Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000957,中通客车,"Zhongtong Bus Co.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000965,天保基建,"Tianjin Tianbao Infrastructure Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000968,蓝焰控股,Shanxi Blue Flame Holding Company Limited,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000978,桂林旅游,Guilin Tourism Corp Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000989,九芝堂,Jiuzhitang Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,000993,闽东电力,"FUJIAN MINDONG ELECTRIC POWER GROUP CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001205,盛航股份,"Nanjing Shenghang Shipping Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001206,依依股份,"Tianjin Yiyi Hygiene Products Co., ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001207,联科科技,"Shandong Link Science and Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001208,华菱线缆,"HUNAN VALIN WIRE & CABLE CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001212,中旗新材,"SINOSTONE(GUANGDONG) CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001215,千味央厨,"Zhengzhou Qianweiyangchu Food Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001216,华瓷股份,"Hunan Hualian China Industry Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001217,华尔泰,"ANHUI HUAERTAI CHEMICAL CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001222,源飞宠物,"Wenzhou Yuanfei pet toy products Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001223,欧克科技,"OK Science and Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001229,魅视科技,"Guangdong AVCiT Technology Holding Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001239,永达股份,"Xiangtan Yongda Machinery Manufacturing Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001258,立新能源,"Xinjiang Lixin Energy Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001266,宏英智能,"Shanghai Smart Control Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
